,19,0.05,4.98,7.70,3.27,0.89,0.12,9.60,12.11,3.60,0.64,0.12,7.93,10.28,3.36,0.51,0.09,7.26,10.06,2.92,0.65,0.14,8.65,11.48,3.03,0.69,0.16,6.93,10.59,3.76,0.74,0.10,4.64,7.48,2.63,0.54
,20,0.04,4.91,6.66,3.16,0.91,0.10,8.38,10.96,3.58,0.64,0.11,7.24,9.53,3.52,0.53,0.11,6.66,9.45,2.85,0.55,0.16,7.84,10.48,3.01,0.72,0.10,6.41,9.52,3.67,0.93,0.06,4.33,6.71,2.72,0.57
,21,0.06,5.22,6.15,3.16,0.71,0.07,7.63,9.92,3.28,0.67,0.09,6.78,8.86,3.38,0.54,0.07,6.11,7.99,2.96,0.53,0.18,7.28,9.86,2.81,0.78,0.12,6.01,9.10,3.52,1.15,0.03,4.25,6.34,2.77,0.75
,22,0.03,5.41,6.51,3.24,0.75,0.10,7.72,9.38,3.26,0.61,0.12,6.98,9.11,3.41,0.56,0.10,6.33,8.10,3.03,0.57,0.16,7.67,9.32,2.82,0.68,0.15,6.16,9.01,3.65,0.94,0.05,4.55,6.70,2.72,0.74
,23,0.01,5.22,6.23,2.88,0.78,0.07,6.99,8.49,3.00,0.43,0.11,6.62,8.10,3.33,0.45,0.04,5.87,7.17,2.60,0.46,0.10,7.36,8.38,2.53,0.59,0.08,6.07,8.79,3.21,0.65,0.07,4.60,6.63,2.57,0.59
PLC,0,0.03,4.86,7.38,2.68,0.66,0.01,4.77,6.65,2.53,0.56,0.01,5.95,8.76,3.67,0.75,0.01,5.88,8.52,3.21,0.98,0.02,4.51,8.28,3.00,0.62,0.01,6.75,8.54,3.80,0.86,0.03,5.62,8.69,3.36,0.58
,1,0.04,4.48,7.01,2.49,0.48,0.04,4.37,6.29,2.09,0.41,0.02,5.65,7.41,3.26,0.63,0.03,5.18,7.68,2.82,0.84,0.02,3.75,6.85,2.36,0.60,0.04,5.85,7.58,3.06,0.71,0.02,5.46,8.03,3.19,0.53
,2,0.05,4.75,7.33,2.47,0.47,0.02,4.40,5.60,1.94,0.46,0.01,5.52,6.63,3.02,0.57,0.02,4.99,7.19,2.71,0.60,0.01,3.33,5.96,1.94,0.55,0.03,5.55,6.78,2.85,0.56,0.02,5.33,7.76,2.96,0.51
,3,0.04,4.64,6.65,2.19,0.51,0.01,3.97,4.97,1.64,0.51,0.03,5.20,6.42,2.48,0.51,0.01,4.45,6.57,2.36,0.42,0.01,3.22,5.09,1.71,0.52,0.02,5.10,6.20,2.56,0.50,0.01,5.12,7.36,2.64,0.45
,4,0.03,4.67,6.33,1.96,0.44,0.01,3.66,4.53,1.41,0.52,0.01,4.26,5.74,1.97,0.52,0.03,3.65,5.70,2.04,0.36,0.01,2.69,4.32,1.40,0.38,0.01,4.49,5.73,2.14,0.39,0.01,4.94,6.83,2.27,0.48
,5,0.02,4.60,6.31,1.79,0.37,0.05,3.24,4.15,1.20,0.43,0.01,4.15,5.50,1.65,0.40,0.03,3.53,5.33,1.71,0.32,0.01,2.83,4.10,1.47,0.37,0.01,3.96,5.34,1.88,0.37,0.02,4.91,6.49,1.67,0.45
,6,0.03,4.21,5.89,1.63,0.35,0.01,3.26,4.11,1.15,0.32,0.01,3.88,5.42,1.53,0.37,0.02,3.20,4.92,1.59,0.30,0.01,2.95,4.80,1.53,0.25,0.02,3.84,5.04,1.73,0.38,0.01,4.53,5.89,1.45,0.44
